model,mae,rmse,nrmse_std,mape_percent,r2,bias,directional_accuracy,skill_vs_persistence_rmse,training_seconds,inference_seconds,inference_ms_per_sample
autoregressive_ridge,0.00038543317229464103,0.0004952127701640282,0.0021223238912344688,0.045835051764433005,0.9999954957413006,4.979567461670021e-06,0.9936507936507937,0.9856474865231527,0.00551387000041359,0.0001276269999834767,0.00040388291134011616
quantum_reservoir,0.0007927344715011506,0.0010555866733671395,0.004523907603218203,0.09290740876248178,0.9999795342599975,-3.2319339164074526e-06,0.9968253968253968,0.9694064392756592,0.7208096660001502,0.1540220270003374,0.487411477849169
echo_state_network,0.0012583513806446733,0.0015932448715729396,0.006828139053049935,0.14675354907947238,0.9999533765170722,0.00014515407164567885,0.9968253968253968,0.9538237503778543,0.017374153999753617,0.0004263740001988481,0.0013492848107558484
random_forest,0.00394374854731966,0.005204286170291957,0.022303909635394272,0.470524667642805,0.9995025356149762,0.0005582943308683743,0.9714285714285714,0.8491666776449559,0.29982400299968504,0.045941499000036856,0.14538449050644575
persistence,0.02871074243461667,0.0345035572314828,0.14787123486475665,3.521268378770607,0.978134097899572,0.0007664146904872304,0.0,0.0,0.0,0.0,0.0
