reservoir,delay,test_r2,positive_capacity,fit_rows,train_boundary
quantum_reservoir,1,0.9951890187341214,0.9951890187341214,1263,948
quantum_reservoir,2,0.9832249430859251,0.9832249430859251,1262,948
quantum_reservoir,3,0.969664401543184,0.969664401543184,1261,948
quantum_reservoir,4,0.9600991849200387,0.9600991849200387,1260,948
quantum_reservoir,5,0.9539083037625217,0.9539083037625217,1259,948
quantum_reservoir,6,0.9529070292699218,0.9529070292699218,1258,948
quantum_reservoir,7,0.9538343063263783,0.9538343063263783,1257,948
quantum_reservoir,8,0.9513508103523209,0.9513508103523209,1256,948
quantum_reservoir,9,0.9452653962775411,0.9452653962775411,1255,948
quantum_reservoir,10,0.9338787140099422,0.9338787140099422,1254,948
quantum_reservoir,11,0.9165867665397434,0.9165867665397434,1253,948
quantum_reservoir,12,0.8951666587026682,0.8951666587026682,1252,948
quantum_reservoir,13,0.8727240211742942,0.8727240211742942,1251,948
quantum_reservoir,14,0.8484162318969599,0.8484162318969599,1250,948
quantum_reservoir,15,0.825569026415738,0.825569026415738,1249,948
quantum_reservoir,16,0.8045505664568353,0.8045505664568353,1248,948
quantum_reservoir,17,0.7836898828535378,0.7836898828535378,1247,948
quantum_reservoir,18,0.76637928230878,0.76637928230878,1246,948
quantum_reservoir,19,0.7500614605139964,0.7500614605139964,1245,948
quantum_reservoir,20,0.7341741214166914,0.7341741214166914,1244,948
echo_state_network,1,0.9999101345817075,0.9999101345817075,1263,948
echo_state_network,2,0.9997704165731351,0.9997704165731351,1262,948
echo_state_network,3,0.9998122100592759,0.9998122100592759,1261,948
echo_state_network,4,0.999802534716811,0.999802534716811,1260,948
echo_state_network,5,0.9995874560255839,0.9995874560255839,1259,948
echo_state_network,6,0.9993290254294104,0.9993290254294104,1258,948
echo_state_network,7,0.999232104897756,0.999232104897756,1257,948
echo_state_network,8,0.9992642440917142,0.9992642440917142,1256,948
echo_state_network,9,0.9992150238147182,0.9992150238147182,1255,948
echo_state_network,10,0.9989553873454772,0.9989553873454772,1254,948
echo_state_network,11,0.9985739201567936,0.9985739201567936,1253,948
echo_state_network,12,0.998272011943923,0.998272011943923,1252,948
echo_state_network,13,0.9981457046410921,0.9981457046410921,1251,948
echo_state_network,14,0.998089409672354,0.998089409672354,1250,948
echo_state_network,15,0.9978938787100492,0.9978938787100492,1249,948
echo_state_network,16,0.997398826410792,0.997398826410792,1248,948
echo_state_network,17,0.9965433409468704,0.9965433409468704,1247,948
echo_state_network,18,0.9952915172653611,0.9952915172653611,1246,948
echo_state_network,19,0.9935536967475344,0.9935536967475344,1245,948
echo_state_network,20,0.9912219121165797,0.9912219121165797,1244,948
