model,alpha,validation_rmse,fit_seconds
quantum_reservoir,1e-06,0.005071086665323887,0.0014639969999734603
quantum_reservoir,0.0001,0.008064218780520662,0.0007563499998468615
quantum_reservoir,0.01,0.013262209594307099,0.0007236900000862079
quantum_reservoir,0.1,0.019177194354846775,0.000627266000265081
quantum_reservoir,1.0,0.03311205970426359,0.0006401540003935224
echo_state_network,1e-06,0.007149700098139323,0.0009936470000866393
echo_state_network,0.0001,0.010682877282907486,0.0006539550004163175
echo_state_network,0.01,0.023182362250673723,0.0006941259998711757
echo_state_network,0.1,0.028366296983956967,0.0006508209999083192
echo_state_network,1.0,0.04207020934582631,0.0006011059999764257
autoregressive_ridge,1e-06,0.0022810579240651442,0.0009776739998414996
autoregressive_ridge,0.0001,0.006042311285384935,0.0007793240001774393
autoregressive_ridge,0.01,0.021285124644433686,0.0009737870000208204
autoregressive_ridge,0.1,0.04354663220292328,0.0006834400001025642
autoregressive_ridge,1.0,0.09376646744304985,0.0006726440001330047
